,fips,count
0,006001,5
1,006003,1
2,006005,6
3,006007,7
4,006009,6
5,006011,6
6,006013,7
7,006015,3
8,006017,3
9,006019,7
10,006021,12
11,006023,3
12,006025,8
13,006027,15
14,006029,13
15,006031,3
16,006033,5
17,006035,9
18,006037,4
19,006039,9
20,006041,3
21,006043,3
22,006045,4
23,006047,7
24,006049,8
25,006051,9
26,006053,9
27,006055,5
28,006057,2
29,006059,3
30,006061,6
31,006063,3
32,006065,11
33,006067,6
34,006069,8
35,006071,10
36,006073,6
37,006075,2
38,006077,7
39,006079,8
40,006081,4
41,006083,7
42,006085,5
43,006087,3
44,006089,4
45,006091,5
46,006093,8
47,006095,5
48,006097,6
49,006099,7
50,006101,4
51,006103,7
52,006105,4
53,006107,8
54,006109,2
55,006111,8
56,006113,7
57,006115,8
