county_fips,n_h3_cells,total_exposure,median_exposure
6075,948,22197,19.0
6001,5443,81348,16.0
6037,28581,445121,16.0
6111,4363,54531,16.0
6095,2489,29649,16.0
6085,7045,97263,16.0
6067,7780,100800,16.0
6059,10161,157035,16.0
6013,5949,73046,14.0
6113,1146,12939,14.0
6081,2970,36311,14.0
6065,16360,197881,14.0
6083,2654,30053,13.0
6071,16153,171318,13.0
6073,17295,192727,12.0
6019,6637,69356,12.0
6029,7142,73441,10.0
6077,4863,47720,10.0
6041,1972,19043,10.0
6025,1216,11964,9.0
6101,798,7149,7.5
6099,4220,38516,7.0
6055,1289,11733,7.0
6031,1221,10937,7.0
6047,2535,20671,6.0
6061,5076,40364,6.0
6087,2383,19920,6.0
6027,361,3016,6.0
6107,4219,35191,6.0
6097,5201,42964,6.0
6051,317,2479,6.0
6053,3301,25898,6.0
6033,1635,11296,5.0
6079,3875,30393,4.0
6023,1982,12847,4.0
6089,3841,24309,4.0
6009,1611,9237,4.0
6007,3122,21712,4.0
6045,1785,9405,4.0
6063,761,3947,4.0
6011,313,2202,4.0
6057,2682,14000,4.0
6069,560,3984,4.0
6039,2398,14552,4.0
6109,1536,8915,4.0
6015,547,3201,4.0
6005,992,5029,3.0
6017,4267,24011,3.0
6093,1391,7480,3.0
6091,123,621,3.0
6115,1230,7452,3.0
6003,71,300,2.0
6103,1645,8182,2.0
6105,540,1869,2.0
6049,443,1819,2.0
6035,744,3506,2.0
6021,537,3198,2.0
6043,653,1718,1.0
