fips_a,fips_b,accuracy,n_a,n_b
6003,6017,1.0,300,24011
6009,6077,1.0,9237,47720
6031,6107,1.0,10937,35191
6055,6097,1.0,11733,42964
6027,6107,0.9999214762465647,3016,35191
6043,6099,0.999900584068597,1718,38516
6009,6099,0.9998952989215789,9237,38516
6031,6079,0.9998790225018146,10937,30393
6099,6109,0.9997259185372591,38516,8915
6089,6105,0.9991596127901538,24309,1869
6063,6103,0.9990106152420939,3947,8182
6015,6093,0.998876667385235,3201,7480
6049,6089,0.9974739845124763,1819,24309
6027,6071,0.9972351952440046,3016,171318
6025,6073,0.9956617538560041,11964,192727
6007,6011,0.9954420162094717,21712,2202
6003,6109,0.9951166576234399,300,8915
6019,6051,0.9950441985104754,69356,2479
6091,6115,0.9947976106897464,621,7452
6027,6029,0.9938266100463802,3016,73441
6019,6027,0.993547223620318,69356,3016
6041,6095,0.9930789603728162,19043,29649
6047,6085,0.992868896075913,20671,97263
6069,6087,0.9923025854607543,3984,19920
6003,6005,0.991743783526676,300,5029
6003,6009,0.9916118372233381,300,9237
6061,6101,0.9908866652418951,40364,7149
6005,6067,0.9906169433753267,5029,100800
6025,6065,0.99047868664967,11964,197881
6095,6113,0.9900911186755945,29649,12939
6089,6103,0.9896893908578213,24309,8182
6057,6091,0.9886463689828944,14000,621
6005,6009,0.9884338913709392,5029,9237
6089,6093,0.9855924836692026,24309,7480
6069,6085,0.9854415397437704,3984,97263
6061,6115,0.9853604940762863,40364,7452
6045,6097,0.9850483765769134,9405,42964
6011,6033,0.9840717686934806,2202,11296
6007,6103,0.9839432605398027,21712,8182
6063,6091,0.9838019274232399,3947,621
6035,6091,0.9837657935285054,3506,621
6021,6103,0.9835676625659051,3198,8182
6005,6077,0.9820660146578437,5029,47720
6029,6037,0.981597186636818,73441,445121
6033,6097,0.981312200516034,11296,42964
6013,6075,0.9811114659117915,73046,22197
6037,6111,0.9810107844221377,445121,54531
6021,6045,0.9807187560995574,3198,9405
6075,6081,0.9805154616572789,22197,36311
6007,6101,0.9800769863388952,21712,7149
6019,6069,0.9787973820561767,69356,3984
6043,6047,0.9773102322495315,1718,20671
6057,6061,0.9771356037364157,14000,40364
6033,6113,0.9760676707241593,11296,12939
6011,6113,0.9753646498641707,2202,12939
6055,6095,0.9751341640782165,11733,29649
6047,6099,0.9748593466387769,20671,38516
6019,6039,0.9747938203629927,69356,14552
6067,6101,0.9743953157830813,100800,7149
6029,6031,0.9743298257442083,73441,10937
6041,6075,0.9738603297769156,19043,22197
6031,6053,0.9733405728247592,10937,25898
6047,6069,0.9717704319610625,20671,3984
6005,6017,0.9716597796143251,5029,24011
6007,6021,0.9712163789642714,21712,3198
6051,6109,0.9708615249129261,2479,8915
6035,6049,0.9705164319248827,3506,1819
6067,6095,0.9697276291356411,100800,29649
6057,6115,0.9694200850807702,14000,7452
6039,6043,0.9693915181315305,14552,1718
6053,6069,0.9693127089810358,25898,3984
6037,6071,0.9692783872290864,445121,171318
6067,6113,0.9691662399126534,100800,12939
6013,6041,0.9688453607071839,73046,19043
6017,6067,0.9680556920580894,24011,100800
6011,6101,0.9679175824646947,2202,7149
6037,6059,0.9652764401739333,445121,157035
6019,6047,0.9631332664174425,69356,20671
6093,6105,0.9628838092949131,7480,1869
6019,6031,0.9627863162546759,69356,10937
6101,6113,0.9623159065261835,7149,12939
6011,6021,0.9612962962962964,2202,3198
6021,6033,0.9610868648692786,3198,11296
6043,6109,0.9589963914213218,1718,8915
6049,6093,0.9575220808967707,1819,7480
6039,6051,0.9562562724906977,14552,2479
6035,6089,0.9561387740427826,3506,24309
6041,6097,0.9541019452356487,19043,42964
6023,6105,0.9534522088153171,12847,1869
6065,6073,0.9534238923898986,197881,192727
6001,6075,0.952233328504515,81348,22197
6085,6087,0.9507010346971148,97263,19920
6103,6105,0.9504526101466808,8182,1869
6019,6053,0.9486005981182434,69356,25898
6061,6067,0.9452409930150832,40364,100800
6059,6073,0.9445565824803765,157035,192727
6029,6107,0.9436261994995933,73441,35191
6001,6081,0.9431662752531331,81348,36311
6033,6055,0.9428110999060377,11296,11733
6015,6023,0.9425471973780907,3201,12847
6085,6099,0.9422001882289305,97263,38516
6007,6115,0.9412633220428587,21712,7452
6001,6077,0.9406436890947438,81348,47720
6019,6107,0.9403044012153596,69356,35191
6045,6105,0.939151250204121,9405,1869
6045,6103,0.9389323650593082,9405,8182
6029,6079,0.9379586695920772,73441,30393
6063,6089,0.9366506350829062,3947,24309
6029,6083,0.9366050271861145,73441,30053
6001,6099,0.9363028185339131,81348,38516
6007,6063,0.9306678507134889,21712,3947
6081,6085,0.9266773358254848,36311,97263
6039,6109,0.9263643982538972,14552,8915
6003,6051,0.925514291269687,300,2479
6055,6113,0.9253403199846895,11733,12939
6067,6077,0.9235793159170482,100800,47720
6013,6067,0.9235760279316846,73046,100800
6029,6111,0.9118713311931215,73441,54531
6023,6093,0.9078565780247081,12847,7480
6063,6115,0.904904159257292,3947,7452
6001,6013,0.9014275203304832,81348,73046
6053,6079,0.8906042217803893,25898,30393
6083,6111,0.859299613025877,30053,54531
6079,6083,0.8387816826690877,30393,30053
6095,6097,0.8366132856351985,29649,42964
6013,6095,0.8279565704269926,73046,29649
6035,6063,0.8164496599282496,3506,3947
6027,6051,0.816014558689718,3016,2479
6017,6061,0.8092116504854369,24011,40364
6013,6077,0.7838298963946964,73046,47720
6039,6047,0.7799163042483845,14552,20671
6059,6065,0.7522540526149919,157035,197881
6009,6109,0.7503300398390657,9237,8915
6013,6097,0.7502456684768555,73046,42964
6029,6071,0.7392863999405684,73441,171318
6053,6087,0.7250861608085161,25898,19920
6101,6115,0.7154309604986095,7149,7452
6081,6087,0.7141790327204214,36311,19920
6059,6071,0.6998169567005845,157035,171318
6077,6099,0.6640150143613479,47720,38516
6033,6045,0.6506447367960551,11296,9405
6023,6045,0.6163489583201855,12847,9405
6065,6071,0.6096549598987707,197881,171318
6001,6085,0.6056737841762478,81348,97263
